Time (s);CO2 (ppm);Chamber nº;P (hPa);T (ºC);radius (m);h chamber 1 (m);h chamber 2 (m);h chamber 3 (m);h chamber 4 (m);h chamber 5 (m);height top part of chamber;diameter;Tsoil;chamber;;;;;;;;
0;470;1;989,5;16;0,152;0,16225;0,17;0,1495;0,154;0,159;13,8;0,152;17;1;;;;;;;;
52;450;2;;;;;;;;;;;17;2;;;;;;;;
218;450;3;;;;;;;;;;;16,8;3;;;;;;;;
229;430;4;;;;;;;;;;;16,7;4;;;;;;;;
449;440;5;;;;;;;;;;;17,2;5;;;;;;;;
703;630;1;;;;;;;;;;;;;;;;;;;;
831;640;2;;;;;;;;;;;;;;;;;;;;
935;625;3;;;;;;;;;;;;;;;;;;;;
1120;610;4;;;;;;;;;;;;;;;;;;;;
1226;610;5;;;;;;;;;;;;;;;;;;;;
1404;810;1;;;;;;;;;;;;;;;;;;;;
1522;830;2;;;;;;;;;;;;;;;;;;;;
1643;750;3;;;;;;;;;;;;;;;;;;;;
1808;750;4;;;;;;;;;;;;;;;;;;;;
1919;785;5;;;;;;;;;;;;;;;;;;;;
2051;1000;1;;;;;;;;;;;;;;;;;;;;
2201;1020;2;;;;;;;;;;;;;;;;;;;;
2338;890;3;;;;;;;;;;;;;;;;;;;;
2510;890;4;;;;;;;;;;;;;;;;;;;;
2625;950;5;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;h1;h2;h3;h4;h5;h top part
;;;;;;;;;;;;;;;;;0,163;0,172;0,168;0,164;0,158;14,4
;;;;;;;;;;;;;;;;;0,163;0,178;0,128;0,157;0,155;13,5
;;;;;;;;;;;;;;;;;0,168;0,168;0,143;0,145;0,159;13,5
;;;;;;;;;;;;;;;;;0,155;0,149;0,159;0,15;0,164;
